#Tn TN+1 tn tn+1 Lithology
70.0 80.0 40.0 40.0 0
80.0 90.0 40.0 40.0 0
90.0 100.0 40.0 40.0 0
100.0 110.0 40.0 40.0 0
110.0 120.0 40.0 40.0 0
120.0 130.0 40.0 40.0 0
130.0 140.0 40.0 40.0 0
70.0 80.0 36.5296094131104 37.307559650059105 1
80.0 90.0 37.307559650059105 38.01085445795654 1
90.0 100.0 38.01085445795654 40.06060606060606 1
100.0 110.0 40.06060606060606 40.06060606060606 1
110.0 120.0 40.06060606060606 40.06060606060606 1
120.0 130.0 40.06060606060606 40.06060606060606 1
130.0 140.0 40.06060606060606 40.06060606060606 1
70.0 80.0 35.473770258802375 36.253293617771305 2
80.0 90.0 36.253293617771305 36.95801058417769 2
90.0 100.0 36.95801058417769 37.902939172474134 2
100.0 110.0 37.902939172474134 38.30147262076875 2
110.0 120.0 38.30147262076875 37.890652706021825 2
120.0 130.0 37.890652706021825 40.121212121212125 2
130.0 140.0 40.121212121212125 40.121212121212125 2
140.0 150.0 40.121212121212125 40.121212121212125 2
70.0 80.0 34.47010763876398 35.199497610605306 3
80.0 90.0 35.199497610605306 35.85889220394134 3
90.0 100.0 35.85889220394134 36.7430497195304 3
100.0 110.0 36.7430497195304 37.11595233660389 3
110.0 120.0 37.11595233660389 36.731553431040034 3
120.0 130.0 36.731553431040034 39.00481220598287 3
130.0 140.0 39.00481220598287 40.121212121212125 3
70.0 80.0 29.202647801544877 32.75314942410532 4
80.0 90.0 32.75314942410532 34.27525636877726 4
90.0 100.0 34.27525636877726 34.87029557994946 4
100.0 110.0 34.87029557994946 35.26430023905891 4
110.0 120.0 35.26430023905891 34.85814873243411 4
120.0 130.0 34.85814873243411 36.53943528214171 4
130.0 140.0 36.53943528214171 37.88080767179196 4
70.0 80.0 17.92860734037207 26.236802413273 5
80.0 90.0 26.236802413273 29.504448379128682 5
90.0 100.0 29.504448379128682 32.72506029539278 5
100.0 110.0 32.72506029539278 34.17898441427853 5
110.0 120.0 34.17898441427853 35.07168373422243 5
120.0 130.0 35.07168373422243 36.25926807970151 5
130.0 140.0 36.25926807970151 37.20675252349461 5
70.0 80.0 40.0 40.0 6
80.0 90.0 40.0 40.0 6
90.0 100.0 40.0 40.0 6
100.0 110.0 40.0 40.0 6
110.0 120.0 40.0 40.0 6
120.0 130.0 40.0 40.0 6
130.0 140.0 40.0 40.0 6
