#Tn TN+1 tn tn+1 Lithology
40.0 50.0 37.51432219776909 38.274466320955085 0
50.0 60.0 38.274466320955085 40.0 0
60.0 70.0 40.0 40.0 0
70.0 80.0 40.0 40.0 0
80.0 90.0 40.0 40.0 0
90.0 100.0 40.0 40.0 0
100.0 110.0 40.0 40.0 0
110.0 120.0 40.0 40.0 0
120.0 130.0 40.0 40.0 0
130.0 140.0 40.0 40.0 0
140.0 150.0 40.0 40.0 0
150.0 160.0 40.0 40.0 0
160.0 170.0 40.0 40.0 0
170.0 180.0 40.0 40.0 0
180.0 190.0 40.0 40.0 0
40.0 50.0 34.32990284811414 35.08296502586842 1
50.0 60.0 35.08296502586842 35.93155974792756 1
60.0 70.0 35.93155974792756 36.5296094131104 1
70.0 80.0 36.5296094131104 37.307559650059105 1
80.0 90.0 37.307559650059105 38.01085445795654 1
90.0 100.0 38.01085445795654 40.06060606060606 1
100.0 110.0 40.06060606060606 40.06060606060606 1
110.0 120.0 40.06060606060606 40.06060606060606 1
120.0 130.0 40.06060606060606 40.06060606060606 1
130.0 140.0 40.06060606060606 40.06060606060606 1
140.0 150.0 40.06060606060606 40.06060606060606 1
150.0 160.0 40.06060606060606 40.06060606060606 1
160.0 170.0 40.06060606060606 40.06060606060606 1
170.0 180.0 40.06060606060606 40.06060606060606 1
180.0 190.0 40.06060606060606 40.06060606060606 1
40.0 50.0 30.03037634656424 34.122973324588486 2
50.0 60.0 34.122973324588486 34.87451125521612 2
60.0 70.0 34.87451125521612 35.473770258802375 2
70.0 80.0 35.473770258802375 36.253293617771305 2
80.0 90.0 36.253293617771305 36.95801058417769 2
90.0 100.0 36.95801058417769 37.902939172474134 2
100.0 110.0 37.902939172474134 38.30147262076875 2
110.0 120.0 38.30147262076875 37.890652706021825 2
120.0 130.0 37.890652706021825 40.121212121212125 2
130.0 140.0 40.121212121212125 40.121212121212125 2
140.0 150.0 40.121212121212125 40.121212121212125 2
150.0 160.0 40.121212121212125 40.121212121212125 2
160.0 170.0 40.121212121212125 40.121212121212125 2
170.0 180.0 40.121212121212125 40.121212121212125 2
180.0 190.0 40.121212121212125 40.121212121212125 2
40.0 50.0 25.607099151988518 31.293474709591308 3
50.0 60.0 31.293474709591308 34.463408428481955 3
60.0 70.0 34.463408428481955 34.47010763876398 3
70.0 80.0 34.47010763876398 35.199497610605306 3
80.0 90.0 35.199497610605306 35.85889220394134 3
90.0 100.0 35.85889220394134 36.7430497195304 3
100.0 110.0 36.7430497195304 37.11595233660389 3
110.0 120.0 37.11595233660389 36.731553431040034 3
120.0 130.0 36.731553431040034 39.00481220598287 3
130.0 140.0 39.00481220598287 40.121212121212125 3
140.0 150.0 40.121212121212125 40.121212121212125 3
150.0 160.0 40.121212121212125 40.121212121212125 3
160.0 170.0 40.121212121212125 40.121212121212125 3
170.0 180.0 40.121212121212125 40.121212121212125 3
180.0 190.0 40.121212121212125 40.121212121212125 3
40.0 50.0 6.6048849840565325 7.484079725857249 4
50.0 60.0 7.484079725857249 25.47926136363637 4
60.0 70.0 25.47926136363637 29.202647801544877 4
70.0 80.0 29.202647801544877 32.75314942410532 4
80.0 90.0 32.75314942410532 34.27525636877726 4
90.0 100.0 34.27525636877726 34.87029557994946 4
100.0 110.0 34.87029557994946 35.26430023905891 4
110.0 120.0 35.26430023905891 34.85814873243411 4
120.0 130.0 34.85814873243411 36.53943528214171 4
130.0 140.0 36.53943528214171 37.88080767179196 4
140.0 150.0 37.88080767179196 39.98191405058527 4
150.0 160.0 39.98191405058527 40.121212121212125 4
160.0 170.0 40.121212121212125 40.121212121212125 4
170.0 180.0 40.121212121212125 40.121212121212125 4
180.0 190.0 40.121212121212125 40.121212121212125 4
40.0 50.0 3.778591240587275 5.1230644951728905 5
50.0 60.0 5.1230644951728905 8.967503085150145 5
60.0 70.0 8.967503085150145 17.92860734037207 5
70.0 80.0 17.92860734037207 26.236802413273 5
80.0 90.0 26.236802413273 29.504448379128682 5
90.0 100.0 29.504448379128682 32.72506029539278 5
100.0 110.0 32.72506029539278 34.17898441427853 5
110.0 120.0 34.17898441427853 35.07168373422243 5
120.0 130.0 35.07168373422243 36.25926807970151 5
130.0 140.0 36.25926807970151 37.20675252349461 5
140.0 150.0 37.20675252349461 37.798468499825965 5
150.0 160.0 37.798468499825965 38.519163089298836 5
160.0 170.0 38.519163089298836 39.492207139265965 5
170.0 180.0 39.492207139265965 39.86425339366516 5
180.0 190.0 39.86425339366516 39.86425339366516 5
40.0 50.0 40.0 40.0 6
50.0 60.0 40.0 40.0 6
60.0 70.0 40.0 40.0 6
70.0 80.0 40.0 40.0 6
80.0 90.0 40.0 40.0 6
90.0 100.0 40.0 40.0 6
100.0 110.0 40.0 40.0 6
110.0 120.0 40.0 40.0 6
120.0 130.0 40.0 40.0 6
130.0 140.0 40.0 40.0 6
140.0 150.0 40.0 40.0 6
150.0 160.0 40.0 40.0 6
160.0 170.0 40.0 40.0 6
170.0 180.0 40.0 40.0 6
180.0 190.0 40.0 40.0 6
